artist,track,album
New Order,Blue Monday,Substance
Kajagoogoo,The Lion's Mouth,Islands
Franco Battiato,Lode All'Inviolato - 2008 Remaster,Caffé De La Paix (2008 Remastered Edition)
Kajagoogoo,The Lion's Mouth - Beast Mix,Islands
Ultravox,White China - 2009 Remaster,Lament (2009 Remaster)
Gary Numan,Are 'Friends' Electric?,Replicas Redux
New Order,"True Faith - Shep Pettibone 12"" Remix",Brotherhood (Collector's Edition)
New Order,True Faith - 2015 Remaster,Singles (2016 Remaster)
Franco Battiato,L'Oceano Di Silenzio - 2008 Remaster,Fisiognomica (2008 Remastered Edition)
The Police,Canary In A Coalmine,Zenyatta Mondatta (Remastered 2003)
Franco Battiato,E Ti Vengo A Cercare - Remastered 2008,Fisiognomica (2008 Remastered Edition)
Franco Battiato,Nomadi - Remastered,Fisiognomica (2008 Remastered Edition)
Van Der Graaf Generator,Killer - Remastered 2021,"H To He, Who Am The Only One (Deluxe)"
Kajagoogoo,Big Apple - Metro Mix,Islands
Talking Heads,Animals - 2005 Remaster,Fear of Music (Deluxe Version)
Ultravox,The Thin Wall - 2008 Remaster,Rage in Eden
Franco Battiato,Le aquile non volano a stormi,Universi paralleli di Franco Battiato
Kajagoogoo,Rivers,Crazy People's Right To Speak
Gary Numan,Cars,The Pleasure Principle
Franco Battiato,L'animale,Torneremo Ancora
New Order,Singularity,Music Complete
Kajagoogoo,Turn Your Back on Me - Extended Mix,Islands
King Crimson,Sartori in Tangier,Beat
Franco Battiato,Secondo Imbrunire - 2008 Remaster,Fisiognomica (2008 Remastered Edition)
Franco Battiato,Fisiognomica - 2008 Remaster,Fisiognomica (2008 Remastered Edition)
Depeche Mode,Waiting for the Night,Violator (Deluxe)
New Order,Bizarre Love Triangle,Brotherhood (Collector's Edition)
Talking Heads,Houses in Motion - 2005 Remaster,Remain in Light (Deluxe Version)
New Order,True Faith,Substance
Franco Battiato,I Giorni Della Monotonia,Il Vuoto
Ultravox,The Voice,The Collection
Franco Battiato,Delenda Carthago - 2008 Remaster,Caffé De La Paix (2008 Remastered Edition)
New Order,Paradise,Brotherhood (Collector's Edition)
Franco Battiato,Risveglio Di Primavera - 2008 Remaster,Mondi Lontanissimi (2008 Remastered Edition)
Franco Battiato,Veni L'Autunnu - 2008 Remaster,Fisiognomica (2008 Remastered Edition)
New Order,Weirdo,Brotherhood (Collector's Edition)
Premiata Forneria Marconi,Per un amico,Per Un Amico
New Order,"Thieves like Us - 12"" Extended",Substance
Banco Del Mutuo Soccorso,Moby Dick,Banco
Kajagoogoo,Turn Your Back on Me - Thompson & Barbiero US Mix,Islands
Franco Battiato,Sui Giardini Della Preesistenza - 2008 Remaster,Caffé De La Paix (2008 Remastered Edition)
